
CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Age Group
1,0,19,15,39,19-35
2,0,21,15,81,19-35
3,1,20,16,6,19-35
4,1,23,16,77,19-35
5,1,31,17,40,19-35
6,1,22,17,76,19-35
7,1,35,18,6,19-35
8,1,23,18,94,19-35
9,0,64,19,3,51-65
10,1,30,19,72,19-35
11,0,67,19,14,65+
12,1,35,19,99,19-35
13,1,58,20,15,51-65
14,1,24,20,77,19-35
15,0,37,20,13,36-50
16,0,22,20,79,19-35
17,1,35,21,35,19-35
18,0,20,21,66,19-35
19,0,52,23,29,51-65
20,1,35,23,98,19-35
21,0,35,24,35,19-35
22,0,25,24,73,19-35
23,1,46,25,5,36-50
24,0,31,25,73,19-35
25,1,54,28,14,51-65
26,0,29,28,82,19-35
27,1,45,28,32,36-50
28,0,35,28,61,19-35
29,1,40,29,31,36-50
30,1,23,29,87,19-35
31,0,60,30,4,51-65
32,1,21,30,73,19-35
33,0,53,33,4,51-65
34,0,18,33,92,0-18
35,1,49,33,14,36-50
36,1,21,33,81,19-35
37,1,42,34,17,36-50
38,1,30,34,73,19-35
39,1,36,37,26,36-50
40,1,20,37,75,19-35
41,1,65,38,35,51-65
42,0,24,38,92,19-35
43,0,48,39,36,36-50
44,1,31,39,61,19-35
45,1,49,39,28,36-50
46,1,24,39,65,19-35
47,1,50,40,55,36-50
48,1,27,40,47,19-35
49,1,29,40,42,19-35
50,1,31,40,42,19-35
51,1,49,42,52,36-50
52,0,33,42,60,19-35
53,1,31,43,54,19-35
54,0,59,43,60,51-65
55,1,50,43,45,36-50
56,0,47,43,41,36-50
57,1,51,44,50,51-65
58,0,69,44,46,65+
59,1,27,46,51,19-35
60,0,53,46,46,51-65
61,0,70,46,56,65+
62,0,19,46,55,19-35
63,1,67,47,52,65+
64,1,54,47,59,51-65
65,0,63,48,51,51-65
66,0,18,48,59,0-18
67,1,43,48,50,36-50
68,1,68,48,48,65+
69,0,19,48,59,19-35
70,1,32,48,47,19-35
71,0,70,49,55,65+
72,1,47,49,42,36-50
73,1,60,50,49,51-65
74,1,60,50,56,51-65
75,0,59,54,47,51-65
76,0,26,54,54,19-35
77,1,45,54,53,36-50
78,0,40,54,48,36-50
79,1,23,54,52,19-35
80,1,49,54,42,36-50
81,0,57,54,51,51-65
82,0,38,54,55,36-50
83,0,67,54,41,65+
84,1,46,54,44,36-50
85,1,21,54,57,19-35
86,0,48,54,46,36-50
87,1,55,57,58,51-65
88,1,22,57,55,19-35
89,1,34,58,60,19-35
90,1,50,58,46,36-50
91,1,68,59,55,65+
92,0,18,59,41,0-18
93,0,48,60,49,36-50
94,1,40,60,40,36-50
95,1,32,60,42,19-35
96,0,24,60,52,19-35
97,1,47,60,47,36-50
98,1,27,60,50,19-35
99,0,48,61,42,36-50
100,0,20,61,49,19-35
101,1,23,62,41,19-35
102,1,49,62,48,36-50
103,0,67,62,59,65+
104,0,26,62,55,19-35
105,0,49,62,56,36-50
106,1,21,62,42,19-35
107,1,66,63,50,65+
108,0,54,63,46,51-65
109,0,68,63,43,65+
110,0,66,63,48,65+
111,0,65,63,52,51-65
112,1,19,63,54,19-35
113,1,38,64,42,36-50
114,0,19,64,46,19-35
115,1,18,65,48,0-18
116,1,19,65,50,19-35
117,1,63,65,43,51-65
118,1,49,65,59,36-50
119,1,51,67,43,51-65
120,1,50,67,57,36-50
121,0,27,67,56,19-35
122,1,38,67,40,36-50
123,1,40,69,58,36-50
124,0,39,69,91,36-50
125,1,23,70,29,19-35
126,1,31,70,77,19-35
127,0,43,71,35,36-50
128,0,40,71,95,36-50
129,0,59,71,11,51-65
130,0,38,71,75,36-50
131,0,47,71,9,36-50
132,0,39,71,75,36-50
133,1,25,72,34,19-35
134,1,31,72,71,19-35
135,0,20,73,5,19-35
136,1,29,73,88,19-35
137,1,44,73,7,36-50
138,0,32,73,73,19-35
139,0,19,74,10,19-35
140,1,35,74,72,19-35
141,1,57,75,5,51-65
142,0,32,75,93,19-35
143,1,28,76,40,19-35
144,1,32,76,87,19-35
145,0,25,77,12,19-35
146,0,28,77,97,19-35
147,0,48,77,36,36-50
148,1,32,77,74,19-35
149,1,34,78,22,19-35
150,0,34,78,90,19-35
151,0,43,78,17,36-50
152,0,39,78,88,36-50
153,1,44,78,20,36-50
154,1,38,78,76,36-50
155,1,47,78,16,36-50
156,1,27,78,89,19-35
157,0,37,78,1,36-50
158,1,30,78,78,19-35
159,0,34,78,1,19-35
160,1,30,78,73,19-35
161,1,56,79,35,51-65
162,1,29,79,83,19-35
163,0,19,81,5,19-35
164,1,31,81,93,19-35
165,0,50,85,26,36-50
166,1,36,85,75,36-50
167,0,42,86,20,36-50
168,1,33,86,95,19-35
169,1,36,87,27,36-50
170,0,32,87,63,19-35
171,0,40,87,13,36-50
172,0,28,87,75,19-35
173,0,36,87,10,36-50
174,0,36,87,92,36-50
175,1,52,88,13,51-65
176,1,30,88,86,19-35
177,0,58,88,15,51-65
178,0,27,88,69,19-35
179,0,59,93,14,51-65
180,0,35,93,90,19-35
181,1,37,97,32,36-50
182,1,32,97,86,19-35
183,0,46,98,15,36-50
184,1,29,98,88,19-35
185,1,41,99,39,36-50
186,0,30,99,97,19-35
187,1,54,101,24,51-65
188,0,28,101,68,19-35
189,1,41,103,17,36-50
190,1,36,103,85,36-50
191,1,34,103,23,19-35
192,1,32,103,69,19-35
193,0,33,113,8,19-35
194,1,38,113,91,36-50
195,1,47,120,16,36-50
196,1,35,120,79,19-35
197,1,45,126,28,36-50
198,0,32,126,74,19-35
199,0,32,137,18,19-35
200,0,30,137,83,19-35
